 46           4.8         3.0          1.4         0.3     setosa	Red
 47           5.1         3.8          1.6         0.2     setosa	Red
 48           4.6         3.2          1.4         0.2     setosa	Red
 49           5.3         3.7          1.5         0.2     setosa	Red
 50           5.0         3.3          1.4         0.2     setosa	Red
 51           7.0         3.2          4.7         1.4 versicolor	Blue
 52           6.4         3.2          4.5         1.5 versicolor	Blue
 53           6.9         3.1          4.9         1.5 versicolor	Blue
 54           5.5         2.3          4.0         1.3 versicolor	Blue
 55           6.5         2.8          4.6         1.5 versicolor	Blue
 56           5.7         2.8          4.5         1.3 versicolor	Blue
 57           6.3         3.3          4.7         1.6 versicolor	Blue
 58           4.9         2.4          3.3         1.0 versicolor	Blue
 59           6.6         2.9          4.6         1.3 versicolor	Blue
 60           5.2         2.7          3.9         1.4 versicolor	Blue
 61           5.0         2.0          3.5         1.0 versicolor	Blue
 62           5.9         3.0          4.2         1.5 versicolor	Blue
 63           6.0         2.2          4.0         1.0 versicolor	Blue
 64           6.1         2.9          4.7         1.4 versicolor	Blue
 65           5.6         2.9          3.6         1.3 versicolor	Blue
 66           6.7         3.1          4.4         1.4 versicolor	Blue
 67           5.6         3.0          4.5         1.5 versicolor	Blue
 68           5.8         2.7          4.1         1.0 versicolor	Blue
 69           6.2         2.2          4.5         1.5 versicolor	Blue
 70           5.6         2.5          3.9         1.1 versicolor	Blue
 71           5.9         3.2          4.8         1.8 versicolor	Blue
 72           6.1         2.8          4.0         1.3 versicolor	Blue
 73           6.3         2.5          4.9         1.5 versicolor	Blue
 74           6.1         2.8          4.7         1.2 versicolor	Blue
 75           6.4         2.9          4.3         1.3 versicolor	Blue
 76           6.6         3.0          4.4         1.4 versicolor	Blue
 77           6.8         2.8          4.8         1.4 versicolor	Blue
 78           6.7         3.0          5.0         1.7 versicolor	Blue
 79           6.0         2.9          4.5         1.5 versicolor	Blue
 80           5.7         2.6          3.5         1.0 versicolor	Blue
 81           5.5         2.4          3.8         1.1 versicolor	Blue
 82           5.5         2.4          3.7         1.0 versicolor	Blue
 83           5.8         2.7          3.9         1.2 versicolor	Blue
 84           6.0         2.7          5.1         1.6 versicolor	Blue
 85           5.4         3.0          4.5         1.5 versicolor	Blue
 86           6.0         3.4          4.5         1.6 versicolor	Blue
 87           6.7         3.1          4.7         1.5 versicolor	Blue
 88           6.3         2.3          4.4         1.3 versicolor	Blue
 89           5.6         3.0          4.1         1.3 versicolor	Blue
 90           5.5         2.5          4.0         1.3 versicolor	Blue
 91           5.5         2.6          4.4         1.2 versicolor	Blue
 92           6.1         3.0          4.6         1.4 versicolor	Blue
 93           5.8         2.6          4.0         1.2 versicolor	Blue
 94           5.0         2.3          3.3         1.0 versicolor	Blue
 95           5.6         2.7          4.2         1.3 versicolor	Blue
 96           5.7         3.0          4.2         1.2 versicolor	Blue
 97           5.7         2.9          4.2         1.3 versicolor	Blue
 98           6.2         2.9          4.3         1.3 versicolor	Blue
 99           5.1         2.5          3.0         1.1 versicolor	Blue
 100          5.7         2.8          4.1         1.3 versicolor	Blue
 101          6.3         3.3          6.0         2.5  virginica	Green
 102          5.8         2.7          5.1         1.9  virginica	Green
 103          7.1         3.0          5.9         2.1  virginica	Green
 104          6.3         2.9          5.6         1.8  virginica	Green
 105          6.5         3.0          5.8         2.2  virginica	Green
 106          7.6         3.0          6.6         2.1  virginica	Green
 107          4.9         2.5          4.5         1.7  virginica	Green
 108          7.3         2.9          6.3         1.8  virginica	Green
 109          6.7         2.5          5.8         1.8  virginica	Green
 110          7.2         3.6          6.1         2.5  virginica	Green
 111          6.5         3.2          5.1         2.0  virginica	Green
 112          6.4         2.7          5.3         1.9  virginica	Green
 113          6.8         3.0          5.5         2.1  virginica	Green
 114          5.7         2.5          5.0         2.0  virginica	Green
 115          5.8         2.8          5.1         2.4  virginica	Green
 116          6.4         3.2          5.3         2.3  virginica	Green
 117          6.5         3.0          5.5         1.8  virginica	Green
 118          7.7         3.8          6.7         2.2  virginica	Green
 119          7.7         2.6          6.9         2.3  virginica	Green
 120          6.0         2.2          5.0         1.5  virginica	Green
 121          6.9         3.2          5.7         2.3  virginica	Green
 122          5.6         2.8          4.9         2.0  virginica	Green
 123          7.7         2.8          6.7         2.0  virginica	Green
 124          6.3         2.7          4.9         1.8  virginica	Green
 125          6.7         3.3          5.7         2.1  virginica	Green
 126          7.2         3.2          6.0         1.8  virginica	Green
 127          6.2         2.8          4.8         1.8  virginica	Green
 128          6.1         3.0          4.9         1.8  virginica	Green
 129          6.4         2.8          5.6         2.1  virginica	Green
 130          7.2         3.0          5.8         1.6  virginica	Green
 131          7.4         2.8          6.1         1.9  virginica	Green
 132          7.9         3.8          6.4         2.0  virginica	Green
 133          6.4         2.8          5.6         2.2  virginica	Green
 134          6.3         2.8          5.1         1.5  virginica	Green
 135          6.1         2.6          5.6         1.4  virginica	Green
 136          7.7         3.0          6.1         2.3  virginica	Green
 137          6.3         3.4          5.6         2.4  virginica	Green
 138          6.4         3.1          5.5         1.8  virginica	Green
 139          6.0         3.0          4.8         1.8  virginica	Green
 140          6.9         3.1          5.4         2.1  virginica	Green
 141          6.7         3.1          5.6         2.4  virginica	Green
 142          6.9         3.1          5.1         2.3  virginica	Green
 143          5.8         2.7          5.1         1.9  virginica	Green
 144          6.8         3.2          5.9         2.3  virginica	Green
 145          6.7         3.3          5.7         2.5  virginica	Green
 146          6.7         3.0          5.2         2.3  virginica	Green
 147          6.3         2.5          5.0         1.9  virginica	Green
 148          6.5         3.0          5.2         2.0  virginica	Green
 149          6.2         3.4          5.4         2.3  virginica	Green
 150          5.9         3.0          5.1         1.8  virginica	Green
